Destination,State,Category,Budget,Rating,Best_Season
Ellora,Maharashtra,Historical,5500,4.7,Winter
Ahmedabad,Gujarat,Historical,5000,4.3,Winter
Kutch,Gujarat,Nature,7000,4.6,Winter
Somnath,Gujarat,Historical,5500,4.5,Winter
Dwarka,Gujarat,Historical,6000,4.5,Winter
Saputara,Gujarat,Nature,6500,4.2,Summer
Munnar,Kerala,Nature,7000,4.8,Winter
Wayanad,Kerala,Nature,6500,4.6,Winter
Alleppey,Kerala,Nature,8000,4.7,Winter
Kochi,Kerala,Food,6000,4.4,Winter
Thekkady,Kerala,Adventure,7500,4.5,Winter
Varkala,Kerala,Beach,7000,4.6,Winter
Pondicherry,Puducherry,Beach,6500,4.5,Winter
Auroville,Puducherry,Nature,6000,4.3,Winter
Shillong,Meghalaya,Nature,8000,4.7,Summer
Cherrapunji,Meghalaya,Nature,8500,4.8,Summer
Tawang,Arunachal Pradesh,Nature,10000,4.7,Summer
Gangtok,Sikkim,Nature,8500,4.7,Summer
Yumthang Valley,Sikkim,Nature,10000,4.8,Summer
Borra Caves,Andhra Pradesh,Adventure,6500,4.5,Winter
Ananthagiri Hills,Telangana,Adventure,5500,4.3,Winter
Adventure Island,Delhi,Adventure,5000,4.2,Winter
Pathankot,Punjab,Adventure,6000,4.3,Winter
Marina Beach,Tamil Nadu,Beach,5000,4.5,Winter
Bheemunipatnam,Andhra Pradesh,Beach,6000,4.4,Winter
Hussain Sagar,Telangana,Nature,4500,4.2,Winter
Charminar Food Street,Telangana,Food,5000,4.5,Winter
Connaught Place,Delhi,Food,5500,4.4,Winter
Marine Drive,Maharashtra,Food,7000,4.6,Winter
Lucknow Food Trail,Uttar Pradesh,Food,5000,4.7,Winter
Amritsar Street Food,Punjab,Food,5500,4.8,Winter
Ahmedabad Food Street,Gujarat,Food,5000,4.5,Winter
Indore Sarafa Bazaar,Madhya Pradesh,Food,5500,4.8,Winter
Bangalore Food Hub,Karnataka,Food,6500,4.6,Winter
Jaipur Food Walk,Rajasthan,Food,6000,4.5,Winter
Goa Seafood Trail,Goa,Food,7000,4.7,Winter
Hyderabad Biryani Tour,Telangana,Food,6000,4.8,Winter
Chennai Food Street,Tamil Nadu,Food,5500,4.5,Winter
Delhi Street Food Tour,Delhi,Food,5000,4.7,Winter
Dandeli,Karnataka,Adventure,7000,4.6,Winter
Bir Billing,Himachal Pradesh,Adventure,9500,4.8,Summer
Zanskar Valley,Ladakh,Adventure,15000,4.9,Summer
Mechuka,Arunachal Pradesh,Adventure,12000,4.7,Summer
Bhedaghat,Madhya Pradesh,Adventure,6000,4.5,Winter
Kovalam,Kerala,Beach,7000,4.6,Winter
Tarkarli,Maharashtra,Beach,6500,4.5,Winter
Mandarmani,West Bengal,Beach,6000,4.3,Winter
Kanyakumari,Tamil Nadu,Beach,5500,4.5,Winter
Khajuraho,Madhya Pradesh,Historical,6000,4.8,Winter
Sanchi,Madhya Pradesh,Historical,5000,4.6,Winter
Hazaribagh,Jharkhand,Historical,4500,4.2,Winter
Fatehpur Sikri,Uttar Pradesh,Historical,5500,4.7,Winter
Valley of Flowers,Uttarakhand,Nature,9000,4.9,Summer
Ziro Valley,Arunachal Pradesh,Nature,8500,4.8,Summer
Mawlynnong,Meghalaya,Nature,7500,4.7,Summer
Silent Valley,Kerala,Nature,7000,4.6,Winter
